SKU_ID,Product_Name,Category,n_obs,price_cv_pct,elasticity,std_err,p_value,r_squared,significant,classification,data_flags
SKU0039,Notebook Pack,Books & Stationery,27,5.39,-3.1951,0.8385,0.0012,0.6001,True,ELASTIC,OK
SKU0015,Denim Jeans,Apparel,27,6.55,-3.0527,0.9511,0.0046,0.581,True,ELASTIC,OK
SKU0027,Shampoo 650ml,Beauty & Personal Care,27,6.06,-2.8181,0.9687,0.009,0.4466,True,ELASTIC,OK
SKU0040,Planner 2025,Books & Stationery,27,4.98,-2.7546,1.1217,0.0239,0.4041,True,INSUFFICIENT_DATA,LOW_PRICE_VARIATION(cv=5.0%)
SKU0037,Sports Bottle,Sports & Fitness,27,5.39,-2.626,1.1032,0.0279,0.4354,True,ELASTIC,OK
SKU0005,Bluetooth Speaker Pro,Electronics,27,7.19,-2.4832,0.7162,0.0026,0.6063,True,ELASTIC,OK
SKU0034,Dumbbell Set 10kg,Sports & Fitness,27,5.45,-2.4268,1.0636,0.0342,0.2732,True,ELASTIC,OK
SKU0001,Smart Earbuds,Electronics,27,6.23,-2.3808,0.958,0.0224,0.4392,True,ELASTIC,OK
SKU0004,Smartwatch Series 5,Electronics,27,6.62,-2.3405,0.6017,0.0011,0.8095,True,ELASTIC,OK
SKU0031,Body Lotion 400ml,Beauty & Personal Care,27,6.89,-2.3368,0.9176,0.0197,0.4338,True,ELASTIC,OK
SKU0007,Wireless Headphones Max,Electronics,27,8.14,-2.3094,0.7786,0.0079,0.4635,True,ELASTIC,OK
SKU0049,Pet Bed,Pet Supplies,27,5.61,-2.3024,1.4387,0.126,0.2468,False,NOT_SIGNIFICANT,OK
SKU0044,Dog Food 5kg,Pet Supplies,27,6.35,-2.2244,0.8182,0.0136,0.4964,True,ELASTIC,OK
SKU0047,Chew Toy Pack,Pet Supplies,27,6.9,-2.1771,1.0792,0.058,0.507,False,NOT_SIGNIFICANT,OK
SKU0012,Protein Oats 1kg,Groceries,27,7.16,-2.1452,0.7914,0.0139,0.501,True,ELASTIC,OK
SKU0033,Yoga Mat,Sports & Fitness,27,5.16,-2.0821,0.9092,0.0336,0.4404,True,ELASTIC,OK
SKU0006,Laptop Air 14,Electronics,27,5.78,-2.0302,1.0599,0.0706,0.442,False,NOT_SIGNIFICANT,OK
SKU0043,Desk Organizer,Books & Stationery,27,7.84,-1.9979,0.7564,0.0161,0.4439,True,ELASTIC,OK
SKU0009,Organic Olive Oil 1L,Groceries,27,6.2,-1.9493,0.9072,0.0448,0.3837,True,ELASTIC,OK
SKU0026,Face Serum 30ml,Beauty & Personal Care,27,5.91,-1.9343,0.8361,0.0321,0.4999,True,ELASTIC,OK
SKU0002,4K Smart TV 43-inch,Electronics,27,6.67,-1.8342,0.8244,0.0384,0.4387,True,ELASTIC,OK
SKU0003,Gaming Console X1,Electronics,27,6.13,-1.7854,0.8965,0.0618,0.6686,False,NOT_SIGNIFICANT,OK
SKU0018,Hoodie Classic,Apparel,27,7.54,-1.7773,0.6164,0.0095,0.5703,True,ELASTIC,OK
SKU0024,Electric Kettle,Home & Kitchen,27,8.36,-1.7665,0.8361,0.0481,0.5238,True,ELASTIC,OK
SKU0045,Cat Food 3kg,Pet Supplies,27,6.56,-1.7344,1.0827,0.1257,0.3424,False,NOT_SIGNIFICANT,OK
SKU0021,Mixer Grinder,Home & Kitchen,27,6.48,-1.6648,0.8897,0.0768,0.6321,False,NOT_SIGNIFICANT,OK
SKU0020,Air Fryer 4L,Home & Kitchen,27,6.84,-1.5977,0.7756,0.0534,0.4884,False,NOT_SIGNIFICANT,OK
SKU0013,Green Tea 100g,Groceries,27,7.9,-1.5729,0.691,0.0346,0.505,True,ELASTIC,OK
SKU0028,Sunscreen SPF50,Beauty & Personal Care,27,4.82,-1.5605,1.1323,0.1842,0.398,False,INSUFFICIENT_DATA,LOW_PRICE_VARIATION(cv=4.8%)
